Masculine,Feminine
fisherman,fisherwoman
flibbertigibbet,fool
flower_girl,flower_boy
flower_girl,flower_boy
footman,footwoman
foreman,forewoman
foreman,forewoman
foremother,ancestor
forewoman,foreman
forewoman,foreman
foster-brother,foster-sister
foster-father,foster-mother
foster-mother,foster-father
foster-sister,foster-brother
foundress,founder
four-minute_man,four-minute_woman
freedman,freedwoman
freeman,freewoman
frenchman,frenchwoman
front_man,front_woman
frontiersman,frontierswoman
frontierswoman,frontiersman
fugleman,fuglewoman
g-man,g-woman
gagman,gagwoman
gagman,gagwoman
garbage_man,garbage_woman
gasman,gaswoman
gay_man,gay_woman
gentleman,lady
gentlemen,ladies
gibson_girl,gibson_boy
girl,boy
girl,boy
girl_friday,assistant
girlfriend,boyfriend
goddaughter,godson
godfather,godmother
godfather,godmother
godmother,godfather
godson,goddaughter
good_old_boy,good_old_girl
governess,governor
granddaughter,grandson
grandfather,grandmother
grandson,granddaughter
great_grandson,great granddaughter
great-aunt,great-uncle
great-nephew,great-niece
grocery_boy,grocery_girl
groom,bride
groom,bride
groomsman,groomswoman
groundsman,groundswoman
guardsman,guardswoman
gunman,gunwoman
gunman,gunwoman
guy,gal
half_sister,half brother
handyman,handywoman
hangman,hangwoman
hatchet_man,hatchet_woman
hatchet_man,hatchet_woman
he,she
head_linesman,head_lineswoman
headman,headwoman
headmistress,headmaster
headsman,headswoman
heidelberg_man,heidelberg_woman
heiress,heir
helmsman,helmswoman
her,him
her,his
heroine,hero
hers,his
herself,himself
him,her
himself,herself
his,her
holdup_man,holdup_woman
homeboy,homegirl
homeboy,homegirl
homegirl,homeboy
honest_woman,honest_man
horseman,horsewoman
horseman,horsewoman
horsewoman,horseman
hostess,innkeeper
hostess,host
huntress,hunter
husband,wife
iceman,icewoman
idolatress,idolater
inamorata,inamorato
infantryman,infantrywoman
instructress,instructor
irishman,irishwoman
irishwoman,irishman
iron_man,iron_woman
jewess,jew
jilt,jilt
john_doe,jane doe
king,queen
kinsman,kinswoman
kinswoman,kinsman
klansman,klanswoman
lackey,servant
ladies,gentlemen
lady,gentleman
lady,lord
landlady,landlord
lawman,lawwoman
layman,laywoman
leading_man,leading_woman
letterman,letterwoman
lighterman,lighterwoman
lineman,linewoman
lineman,linewoman
linesman,lineswoman
linkboy,linkgirl
little_brother,little sister
little_sister,little brother
liveryman,liverywoman
lobsterman,lobsterwoman
lollipop_lady,crossing guard
longbowman,longbowwoman
lord,lady
lowerclassman,lowerclasswoman
lumberman,lumberwoman
ma'am,sir
madam,sir
madwoman,madman
maid,domestic
mailman,mailwoman
male,female
male,female
male_sibling,female sibling
malik,malikah
mamma,pappa
man,woman
man,woman
man,woman
man,woman
man,woman
manageress,manager
mannequin,model
marksman,markswoman
masseur,masseuse
matriarch,patriarch
matron,warden
matron_of_honor,best man
mayoress,mayor
mediatrix,mediator
medicine_man,medicine_woman
memsahib,sahib
men,women
messenger_boy,messenger_girl
mestizo,mestiza
middle-aged_man,middle-aged_woman
midshipman,midshipwoman
military_policeman,military_policewoman
militiaman,militiawoman
milkman,milkwoman
mill-girl,mill-boy
millionairess,millionaire
milord,milady
minuteman,minutewoman
miracle_man,miracle_woman
miss,mr.
mistress,other man
monk,female monk
mother,father
mother,father
mother,father
mother's_boy,mother's_girl
mother's_son,mother's_daughter
mr.,ms.
mrs.,mr.
ms.,mr.
muffin_man,muffin_woman
murderess,murderer
muscleman,musclewoman
nabob,begum
nanny,manny
nautch_girl,nautch_boy
negotiatress,negotiator
nephew,niece
newswoman,newsman
niece,nephew
night_watchman,night_watchwoman
nun,monk
oarsman,oarswoman
oarswoman,oarsman
office_boy,office_girl
oilman,oilwoman
oilman,oilwoman
oklahoman,oklahowoman
old_boy,old_girl
old_boy,old_girl
old_boy,old_girl
old_man,old_woman
old_man,old_woman
old_man,old_woman
old_woman,old_man
orangeman,orangewoman
organization_man,organization_woman
ottoman,ottowoman
outdoorsman,outdoorswoman
outdoorswoman,outdoorsman
pachuco,pachuca
paperboy,papergirl
parisienne,parisian
party_girl,party_boy
party_man,party_woman
patroness,patron
piltdown_man,piltdown_woman
pitchman,pitchwoman
placeman,placewoman
plainclothesman,plainclotheswoman
plainsman,plainswoman
plowboy,plowgirl
plowman,plowwoman
poetess,poet
point_man,point_woman
point_man,point_woman
point_woman,point_man
pointsman,pointswoman
police_matron,policeman
policeman,policewoman
poseuse,poseur
posseman,possewoman
poster_boy,poster_girl
poster_girl,poster_boy
postmistress,postmaster
potboy,potgirl
poultryman,poultrywoman
priest,priestess
priestess,priest
prima_donna,opera star
princess,prince
procuress,pimp
property_man,property_woman
prophetess,prophet
proprietress,proprietor
protegee,protege
quarryman,quarrywoman
queen,king
raftsman,raftswoman
remittance_man,remittance_woman
renaissance_man,renaissance_woman
renaissance_man,renaissance_woman
repairman,repairwoman
rifleman,riflewoman
rifleman,riflewoman
right-hand_man,right-hand_woman
ring_girl,ring_boy
roadman,roadwoman
roman,rowoman
roman,rowoman
roundsman,roundswoman
salesgirl,salesboy
salesman,saleswoman
sandboy,sandgirl
sandwichman,sandwichwoman
schoolboy,schoolgirl
schoolgirl,schoolboy
schoolman,schoolwoman
schoolmarm,schoolteacher
scotswoman,scotsman
sculptress,sculptor
second_baseman,second_basewoman
section_man,section_woman
seductress,seducer
seedsman,seedswoman
selectman,selectwoman
selectwoman,selectman
senhor,senhora
servant_girl,servant_boy
serviceman,servicewoman
shaheed,shahida
she,he
sheepman,sheepwoman
sheik,sheikha
shepherdess,shepherd
shop_boy,shop_girl
shop_girl,shop_boy
showman,showwoman
showman,showwoman
sidesman,sideswoman
signalman,signalwoman
sir,madam
sir,madam
sister,brother
sister,brother
sister-in-law,brother-in-law
skivvy,domestic servant
small_businessman,small_businesswoman
son,daughter
son-in-law,daughter-in-law
songstress,songster
soprano,singer
sorceress,sorcerer
soundman,soundwoman
spokesman,spokeswoman
spokeswoman,spokesman
sporting_man,sporting_woman
sporting_man,sporting_woman
squaw_man,squaw_woman
stableman,stablewoman
statesman,stateswoman
stateswoman,statesman
stepbrother,stepsister
stepfather,stepmother
stepmother,stepfather
stewardess,steward
stockman,stockwoman
straight_man,straight_woman
strongman,strongwoman
strongman,strongwoman
swagman,swagwoman
sweater_girl,sweater_boy
t-man,t-woman
tallyman,tallywoman
tallyman,tallywoman
taskmistress,taskmaster
testatrix,testator
third_baseman,third_basewoman
timberman,timberwoman
toast_mistress,toastmaster
tomboy,tomgirl
torch_singer,torch singer
townsman,townswoman
townsman,townswoman
trainbandsman,trainbandswoman
trainman,trainwoman
traveling_salesman,traveling_saleswoman
tribesman,tribeswoman
uncle,aunt
undoer,trophy husband
unmarried_woman,unmarried_man
unpleasant_woman,unpleasant_man
usherette,usher
utility_man,utility_woman
utility_man,utility_woman
uxor,vir
valley_girl,valley_boy
vestryman,vestrywoman
vestrywoman,vestryman
vice_chairman,vice_chairwoman
villainess,villain
viscountess,viscount
visiting_fireman,visiting_firewoman
waitress,waiter
wardress,warder
washerman,washerwoman
washwoman,washman
watchman,watchwoman
water_boy,water_girl
weatherman,weatherwoman
welshman,welshwoman
white_man,white_woman
white_woman,white_man
widow,widower
widower,widow
wife,husband
wild_man,wild_woman
wingman,wingwoman
wireman,wirewoman
wolf_boy,wolf_girl
woman,man
woman,man
women,men
wonder_boy,wonder_girl
wonder_woman,wonder_man
woodsman,woodswoman
working_girl,working_boy
workman,workwoman
yachtsman,yachtswoman
yardman,yardwoman
yardman,yardwoman
yellow_man,yellow_woman
yellow_woman,yellow_man
yeoman,yeowoman
yeoman,yeowoman
